Tracked Items,01-25,02-25,03-25,04-25,05-25,06-25,07-25,08-25,09-25,10-25,11-25,12-25,01-26
Arrive Program Referral,21,17,35,25,37,22,16,9,26,23,13,25,9
BWC Reviews,96,57,77,78,60,62,75,88,79,64,88,77,91
Calls for Service,6291,5546,6830,6826,6619,6589,6745,7214,6713,7254,6830,7005,7183
CDS Arrest(s),2,0,0,1,0,1,1,2,1,1,1,3,0
DUI Arrest(s),5,2,1,1,5,2,5,3,4,4,5,4,5
DV Arrest(s),12,9,10,8,18,7,11,12,12,9,12,12,12
DV Incident(s),31,19,36,31,56,34,43,36,29,26,33,28,42
Handle with Care Notifications,12,23,26,31,32,27,15,8,21,33,20,19,21
Mental Health Calls,42,38,48,37,51,29,41,33,39,45,50,22,35
Motor Vehicle Stops,137,103,114,258,114,108,171,349,189,194,178,211,218
Narcan Deployment,0,1,0,1,1,1,0,0,1,0,1,0,0
Overdose(s),2,1,2,2,2,1,1,2,2,0,1,1,0
Pursuit Review,0,0,0,0,0,0,0,0,0,0,0,1,0
Self-Initiated Arrest(s),15,9,13,9,19,10,20,16,12,18,13,12,12
Tasks,1604,1532,2109,1867,1812,1666,1760,1821,1775,1955,1801,1748,1790
Total Moving Summons,283,158,267,293,162,161,212,453,200,330,58,270,241
Total Parking Summons,738,504,552,536,548,441,480,532,461,517,437,610,610
Use of Force Review,1,1,2,5,0,0,5,0,8,6,3,7,2
