TYPE,Month_Year,TICKET_COUNT,WG2
M,01-25,442,Unknown
M,02-25,312,Unknown
M,03-25,437,Unknown
M,04-25,511,Unknown
M,05-25,339,Unknown
M,06-25,337,Unknown
M,07-25,460,Unknown
M,08-25,847,Unknown
M,09-25,508,Unknown
M,10-25,419,Unknown
M,11-25,416,Unknown
M,12-25,442,Unknown
P,01-25,2797,Unknown
P,02-25,2335,Unknown
P,03-25,3080,Unknown
P,04-25,3078,Unknown
P,05-25,3058,Unknown
P,06-25,2955,Unknown
P,07-25,3878,Unknown
P,08-25,3437,Unknown
P,09-25,4041,Unknown
P,10-25,3490,Unknown
P,11-25,2947,Unknown
P,12-25,2893,Unknown
