Closed Case Dispositions,Month_MM_YY,Display Value
Active / Administratively Closed,01-25,7700.00%
Active / Administratively Closed,02-25,6200.00%
Active / Administratively Closed,03-25,5100.00%
Active / Administratively Closed,04-25,7400.00%
Active / Administratively Closed,05-25,9000.00%
Active / Administratively Closed,06-25,4300.00%
Active / Administratively Closed,07-25,4400.00%
Active / Administratively Closed,08-25,5000.00%
Active / Administratively Closed,09-25,7300.00%
Active / Administratively Closed,10-25,3900.00%
Active / Administratively Closed,11-25,5400.00%
Active / Administratively Closed,12-25,5900.00%
Active / Administratively Closed,01-26,4800.00%
Arrest,01-25,0.00%
Arrest,02-25,600.00%
Arrest,03-25,500.00%
Arrest,04-25,200.00%
Arrest,05-25,500.00%
Arrest,06-25,100.00%
Arrest,07-25,200.00%
Arrest,08-25,900.00%
Arrest,09-25,900.00%
Arrest,10-25,300.00%
Arrest,11-25,600.00%
Arrest,12-25,300.00%
Arrest,01-26,300.00%
Complaint Signed,01-25,1700.00%
Complaint Signed,02-25,1200.00%
Complaint Signed,03-25,1700.00%
Complaint Signed,04-25,1600.00%
Complaint Signed,05-25,1300.00%
Complaint Signed,06-25,700.00%
Complaint Signed,07-25,1500.00%
Complaint Signed,08-25,1700.00%
Complaint Signed,09-25,500.00%
Complaint Signed,10-25,700.00%
Complaint Signed,11-25,500.00%
Complaint Signed,12-25,500.00%
Complaint Signed,01-26,2400.00%
Ex Cleared / Closed,01-25,2700.00%
Ex Cleared / Closed,02-25,1700.00%
Ex Cleared / Closed,03-25,1600.00%
Ex Cleared / Closed,04-25,4000.00%
Ex Cleared / Closed,05-25,2000.00%
Ex Cleared / Closed,06-25,2200.00%
Ex Cleared / Closed,07-25,1900.00%
Ex Cleared / Closed,08-25,2500.00%
Ex Cleared / Closed,09-25,2500.00%
Ex Cleared / Closed,10-25,2500.00%
Ex Cleared / Closed,11-25,1200.00%
Ex Cleared / Closed,12-25,2500.00%
Ex Cleared / Closed,01-26,2200.00%
Juvenile Complaint,01-25,0.00%
Juvenile Complaint,02-25,0.00%
Juvenile Complaint,03-25,0.00%
Juvenile Complaint,04-25,0.00%
Juvenile Complaint,05-25,0.00%
Juvenile Complaint,06-25,0.00%
Juvenile Complaint,07-25,0.00%
Juvenile Complaint,08-25,0.00%
Juvenile Complaint,09-25,0.00%
Juvenile Complaint,10-25,0.00%
Juvenile Complaint,11-25,0.00%
Juvenile Complaint,12-25,0.00%
Juvenile Complaint,01-26,0.00%
Stationhouse Adjustment,01-25,200.00%
Stationhouse Adjustment,02-25,0.00%
Stationhouse Adjustment,03-25,300.00%
Stationhouse Adjustment,04-25,100.00%
Stationhouse Adjustment,05-25,0.00%
Stationhouse Adjustment,06-25,0.00%
Stationhouse Adjustment,07-25,0.00%
Stationhouse Adjustment,08-25,0.00%
Stationhouse Adjustment,09-25,0.00%
Stationhouse Adjustment,10-25,0.00%
Stationhouse Adjustment,11-25,0.00%
Stationhouse Adjustment,12-25,0.00%
Stationhouse Adjustment,01-26,0.00%
TOT DCP&P,01-25,400.00%
TOT DCP&P,02-25,200.00%
TOT DCP&P,03-25,300.00%
TOT DCP&P,04-25,200.00%
TOT DCP&P,05-25,100.00%
TOT DCP&P,06-25,0.00%
TOT DCP&P,07-25,0.00%
TOT DCP&P,08-25,0.00%
TOT DCP&P,09-25,0.00%
TOT DCP&P,10-25,0.00%
TOT DCP&P,11-25,0.00%
TOT DCP&P,12-25,0.00%
TOT DCP&P,01-26,0.00%
Unfounded / Closed,01-25,200.00%
Unfounded / Closed,02-25,200.00%
Unfounded / Closed,03-25,800.00%
Unfounded / Closed,04-25,400.00%
Unfounded / Closed,05-25,800.00%
Unfounded / Closed,06-25,400.00%
Unfounded / Closed,07-25,500.00%
Unfounded / Closed,08-25,500.00%
Unfounded / Closed,09-25,800.00%
Unfounded / Closed,10-25,300.00%
Unfounded / Closed,11-25,1000.00%
Unfounded / Closed,12-25,1400.00%
Unfounded / Closed,01-26,500.00%
