Service Category,Formatted_Date,Sum of Value
Administrative Services,01-25,54
Administrative Services,02-25,100
Administrative Services,03-25,202
Administrative Services,04-25,182
Administrative Services,05-25,232
Administrative Services,06-25,112
Administrative Services,07-25,176
Administrative Services,08-25,154
Administrative Services,09-25,196
Administrative Services,10-25,166
Administrative Services,11-25,84
Administrative Services,12-25,22
Administrative Services,01-26,58
Operational Services,01-25,74
Operational Services,02-25,202
Operational Services,03-25,158
Operational Services,04-25,110
Operational Services,05-25,174
Operational Services,06-25,110
Operational Services,07-25,198
Operational Services,08-25,104
Operational Services,09-25,236
Operational Services,10-25,148
Operational Services,11-25,71
Operational Services,12-25,18
Operational Services,01-26,37
Priority Services,01-25,40
Priority Services,02-25,42
Priority Services,03-25,75
Priority Services,04-25,85
Priority Services,05-25,103
Priority Services,06-25,37
Priority Services,07-25,47
Priority Services,08-25,19
Priority Services,09-25,129
Priority Services,10-25,110
Priority Services,11-25,11
Priority Services,12-25,4
Priority Services,01-26,16
Support Services,01-25,9
Support Services,02-25,6
Support Services,03-25,8
Support Services,04-25,4
Support Services,05-25,6
Support Services,06-25,13
Support Services,07-25,6
Support Services,08-25,11
Support Services,09-25,4
Support Services,10-25,4
Support Services,11-25,13
Support Services,12-25,2
Support Services,01-26,8
Technical Services,01-25,12
Technical Services,02-25,50
Technical Services,03-25,35
Technical Services,04-25,15
Technical Services,05-25,41
Technical Services,06-25,21
Technical Services,07-25,25
Technical Services,08-25,11
Technical Services,09-25,35
Technical Services,10-25,49
Technical Services,11-25,5
Technical Services,12-25,1
Technical Services,01-26,4
Training & Education,01-25,44
Training & Education,02-25,18
Training & Education,03-25,26
Training & Education,04-25,4
Training & Education,05-25,10
Training & Education,06-25,10
Training & Education,07-25,22
Training & Education,08-25,8
Training & Education,09-25,14
Training & Education,10-25,16
Training & Education,11-25,0
Training & Education,12-25,0
Training & Education,01-26,20
